coin,fundingRate_avg_5d,isNew
PROVE,-429.3991257619833,False
ALT,-262.19328891570245,False
SUPER,-258.7251716132231,False
GMT,-188.40595990413226,False
CHIP,-147.02480006280993,False
BLAST,-85.04569983471073,False
ME,-83.1085402214876,False
STABLE,-56.88493000661157,False
SAGA,-55.00083427438016,False
FOGO,-43.50372811239668,False
TST,-37.94379593057851,False
COMP,-29.221924373553712,False
OP,-23.547367953719007,False
POL,-18.370364330578514,False
MERL,-16.700561365289257,False
MINA,-14.385905841322314,False
BCH,-13.892620829752063,False
TRUMP,-11.650010876033056,False
SNX,-11.026092545454546,False
BLUR,-10.445864171900826,False
ICP,-9.527330390082643,False
kLUNC,-6.5312351900826435,False
JTO,-6.323967074380165,False
kSHIB,-6.246148591735538,False
ETC,-5.176365084297521,False
SUSHI,-5.103575276033058,False
STRK,-5.053061206611569,False
CAKE,-3.6143969950413215,False
LAYER,-3.18367720661157,False
DASH,-2.7057048198347107,False
BSV,-2.7028487702479334,False
STX,-2.4411940859504138,False
kFLOKI,-2.4249504396694217,False
SUI,-2.319116608264463,False
TON,-1.9545145487603304,False
ADA,-1.6681016429752065,False
AIXBT,-1.6164075074380155,False
ZORA,-1.4231394644628095,False
YGG,-1.3412341884297514,False
AXS,-1.3063889355371883,False
UNI,-0.723117728925619,False
