coin,fundingRate,premium,time
BTC,0.0000125,0.0005886898,1759762800043
BTC,0.0000149247,0.0006193977,1759766400064
BTC,0.0000226349,0.0006810791,1759770000051
BTC,0.0000395953,0.0008167624,1759773600087
BTC,0.0000357439,0.000785951,1759777200084
BTC,0.0000278628,0.0007229028,1759780800023
BTC,0.0000300335,0.0007402681,1759784400015
BTC,0.000013557,0.0006084558,1759788000075
BTC,0.0000125,0.000517679,1759791600068
BTC,0.0000125,0.0004694301,1759795200002
BTC,0.0000125,0.0004645493,1759798800012
BTC,0.0000125,0.0005064871,1759802400064
BTC,0.0000125,0.0004488182,1759806000050
BTC,0.0000125,0.0003825284,1759809600039
BTC,0.0000125,0.0002991712,1759813200032
BTC,0.0000125,0.0004158115,1759816800019
BTC,0.0000125,0.0004370715,1759820400042
BTC,0.0000125,0.0004721146,1759824000014
BTC,0.0000125,0.0004427285,1759827600010
BTC,0.0000125,0.0004222591,1759831200059
BTC,0.0000125,0.0004389849,1759834800022
BTC,0.0000125,0.0005165438,1759838400000
BTC,0.0000125,0.0005862732,1759842000076
BTC,0.0000259729,0.0007077836,1759845600138
BTC,0.0000250139,0.0007001113,1759849200114
ETH,0.0000125,0.0005226961,1759762800043
ETH,0.0000125,0.0005639946,1759766400064
ETH,0.0000125,0.0005250553,1759770000051
ETH,0.0000125,0.0004746574,1759773600087
ETH,0.0000125,0.0003889545,1759777200084
ETH,0.0000125,0.0003463471,1759780800023
ETH,0.0000125,0.0003179488,1759784400015
ETH,0.0000125,0.0002930305,1759788000075
ETH,0.0000125,0.0003329748,1759791600068
ETH,0.0000125,0.0003889747,1759795200002
ETH,0.0000125,0.0002595234,1759798800012
ETH,0.0000125,0.0002605561,1759802400064
ETH,0.0000125,0.0003088054,1759806000050
ETH,0.0000125,0.000372415,1759809600039
ETH,0.0000125,0.0003923137,1759813200032
ETH,0.0000125,0.0004656542,1759816800019
ETH,0.0000125,0.0003783064,1759820400042
ETH,0.0000125,0.0003693971,1759824000014
ETH,0.0000125,0.0003684202,1759827600010
ETH,0.0000125,0.000261829,1759831200059
ETH,0.0000125,0.0002298855,1759834800022
ETH,0.0000125,0.0002690435,1759838400000
ETH,0.0000125,0.000299462,1759842000076
