coin,fundingRate_avg_5d,isNew
STABLE,-252.38236564000002,False
TRX,-65.94475659000001,False
MOVE,-60.72961760999999,False
SNX,-58.383696180000015,False
SEI,-53.570576960000004,False
BSV,-50.47903864,False
UMA,-49.198718649999996,False
AVNT,-48.783725329999996,False
ZK,-48.37469976,False
MEME,-39.47567271999999,False
ZEC,-38.19584037,False
GMT,-35.49023553,False
ME,-33.74692107,False
kNEIRO,-31.39528447,False
JTO,-28.964331180000002,False
PROVE,-28.392625839999997,False
IO,-27.537866649999998,False
STX,-26.59693023,False
MERL,-25.489468399999996,False
W,-23.11506237,False
kLUNC,-21.8806477,False
STRK,-21.538059430000004,False
SAGA,-21.41428939,False
MON,-21.22625599,False
POPCAT,-20.44422013,False
MOODENG,-19.937181109999997,False
ALT,-17.33753212,False
ICP,-16.982392230000002,False
CAKE,-16.18208155,False
ADA,-16.021894,False
AERO,-14.47545543,False
SOL,-13.768627089999999,False
TON,-13.182507170000003,False
COMP,-13.17242003,False
WIF,-12.757736959999999,False
JUP,-11.76533189,False
TURBO,-10.362889469999999,False
kSHIB,-10.16790647,False
APT,-9.911055970000001,False
ATOM,-9.66737248,False
SUSHI,-9.13276209,False
ZEN,-9.060827159999999,False
2Z,-8.50637318,False
WLD,-7.597570629999998,False
PUMP,-6.970588229999999,False
CHIP,-6.427244849999998,False
OP,-6.235884839999999,False
INJ,-5.994588449999999,False
ETC,-5.870652700000001,False
FIL,-5.494326019999999,False
DASH,-4.857817849999997,False
AVAX,-4.69580676,False
MEGA,-3.93204718,False
kFLOKI,-3.6033690599999995,False
XRP,-3.3406427900000004,False
YGG,-3.265463739999999,False
XLM,-2.7552864499999994,False
CRV,-2.403522079999999,False
kBONK,-2.2150660099999993,False
DOGE,-1.6203174899999995,False
PENDLE,-1.1834913299999992,False
ORDI,-0.6409305099999996,False
TIA,-0.6389930899999997,False
AXS,-0.16593775999999974,False
TAO,-0.15946995999999983,False
MINA,-0.08720725999999998,False
ALGO,-0.0688703899999996,False
ONDO,-0.0443978699999997,False
